Uuid,Void/Retire,Name,Description,Parent,Tags,Tag,Attribute|8a845a89-6aa5-4111-81d3-0af31c45c002,Address 1,Address 2,Address 3,Address 4,Address 5,Address 6,City/Village,County/District,State/Province,Postal Code,Country,_order:1000,Tag|Admission Location,Tag|Transfer Location,Tag|Maternity Ward,Tag|Queue Location
ad82082b-ff92-4869-a9af-f3a97a6431fb,,Minyiri Dispensary,Dispensary,,,,29776,,,,,Central Sakwa ,Bondo,,Siaya,Siaya,,Kenya,,,,,
98b6316a-5e64-4087-94ae-1b48fded193a,,Muhwayo Dispensary,Dispensary,,,,27422,,,,,Sigomere ,Ugunja,,Siaya,Siaya,,Kenya,,,,,
02b3adb7-71ff-4b74-9529-a09638bcaa60,,Ndwara Dispensary (Rarieda),Dispensary,,,,31522,,,,,West Asembo ,Rarieda,,Siaya,Siaya,,Kenya,,,,,
306f3e74-4db1-4c1e-b944-5d24124c5866,,Nyabeda Dispensary,Dispensary,,,,29326,,,,,North Gem ,Gem,,Siaya,Siaya,,Kenya,,,,,
46b13f76-601f-41b2-ab6e-62cefd6af1f8,,Nyalweny Dispensary,Dispensary,,,,29057,,,,,West Ugenya ,Ugenya,,Siaya,Siaya,,Kenya,,,,,
a4ce1fed-026c-49e5-972c-5256de313923,,Nyamboyo Dispensary,Dispensary,,,,27337,,,,,West Alego ,Alego Usonga,,Siaya,Siaya,,Kenya,,,,,
3bcd95d7-f98a-4186-a1dc-71b2e01b39e1,,Nyamsenda Dispensary,Dispensary,,,,27166,,,,,North Ugenya ,Ugenya,,Siaya,Siaya,,Kenya,,,,,
622f8713-528a-4874-a66a-48b46106a9ff,,Nyayiera Dispensary (Rarieda),Dispensary,,,,20038,,,,,East Asembo ,Rarieda,,Siaya,Siaya,,Kenya,,,,,
6448db10-9817-4b37-a2fe-63f55c9f2f4c,,Obambo Dispensary,Dispensary,,,,28894,,,,,Central Alego ,Alego Usonga,,Siaya,Siaya,,Kenya,,,,,
376e3c4d-3e4f-47cb-9cca-dca009f2a18f,,Orombe Dispensary,Dispensary,,,,29321,,,,,West Gem ,Gem,,Siaya,Siaya,,Kenya,,,,,
b2427681-0da7-4b87-99f4-699d5a6f95ce,,Sifu Dispensary,Dispensary,,,,31464,,,,,Central Sakwa ,Bondo,,Siaya,Siaya,,Kenya,,,,,
71fca2a4-a9d8-465b-ae85-00c8fe406064,,Tatro Dispensary,Dispensary,,,,27414,,,,,Yala Township ,Gem,,Siaya,Siaya,,Kenya,,,,,
3844afe0-ee07-41c2-85c9-91fc0bbc0849,,Udimba Dispensary,Dispensary,,,,29777,,,,,North Sakwa ,Bondo,,Siaya,Siaya,,Kenya,,,,,
ee7321fa-213e-4bc8-a4ed-6424593426b4,,Wadenya Dispensary,Dispensary,,,,27168,,,,,West Ugenya ,Ugenya,,Siaya,Siaya,,Kenya,,,,,
